"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"MicroscopeyScale";2;"MicroscopeyScale";;;
2;"U1,U2,U8";"SOIC-14_N";3;"MCP4922-E/SL";;;
3;"G***,G***";"SF_HD65";2;"LOGO";;;
4;"U3";"ARDUINO_MICRO_SMD";1;"ARDUINO_MICRO";;;
5;"X1,X2,X3,X4";"MountingHoleM3";4;"MountPad3";;;
6;"C1,C2";"FFC_05_24";2;"SF-HF65";;;
7;"REF**";"HeatSink19x13";1;"HeatSink19x13";;;
8;"U4,U5,U6";"SOIC-08_N";3;"TCA0372";;;
9;"C3";"0805G";1;"C_Small";;;
10;"R1,R3,R5,R6";"0805G";4;"15k";;;
11;"R2,R4";"0805G";2;"56k";;;
12;"R7,R8,R15";"0805G";3;"8.2k";;;
13;"R9,R10,R12";"0805G";3;"4.7k";;;
14;"R11";"0805G";1;"R";;;
15;"R13";"0805G";1;"3.3k";;;
16;"C4";"0805G";1;"100n";;;
17;"D1,D2";"0805G";2;"LED";;;
18;"Q1";"TO-252-2Lead";1;"Q_NMOS_GDS";;;
19;"R14,R19";"0805G";2;"470";;;
20;"R16";"0805G";1;"1.8k";;;
21;"R17";"0805G";1;"100";;;
22;"R18";"0805G";1;"10k";;;
23;"R20";"0805G";1;"10";;;
24;"U7";"SOIC-08_N";1;"MCP6002";;;
25;"U9";"Pads_24";1;"Con24";;;
26;"U11";"FFC_05_45";1;"Con45";;;
27;"U10";"Pads";1;"Con45";;;
28;"REF**,REF**";"MountingHole_3mm";2;"MountingHole_3mm";;;
29;"JP1";"GS3";1;"Jumper_NC_Dual";;;
30;"R21";"0805G";1;"2.2k";;;
31;"RV4,RV3,RV2,RV1";"CA6_VSMD";4;"POT";;;
