"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"MicroscopeyScale";1;"MicroscopeyScale";;;
2;"U11";"FFC_05_45";1;"Con45";;;
3;"RV4,RV3,RV2,RV1";"CA6_VSMD";4;"POT";;;
4;"U1,U2,U8";"SOIC-14_N";3;"MCP4922-E/SL";;;
5;"U3";"ARDUINO_MICRO_SMD";1;"ARDUINO_MICRO";;;
6;"X1,X2,X3,X4";"MountingHoleM3";4;"MountPad3";;;
7;"C3";"0805G";1;"100nF";;;
8;"R1,R3,R5,R6";"0805G";4;"15k";;;
9;"R2,R4,R26,R36";"0805G";4;"56k";;;
10;"R7,R8,R15";"0805G";3;"8.2k";;;
11;"R9,R10,R12,R34,R35";"0805G";5;"4.7k";;;
12;"R11";"0805G";1;"100k";;;
13;"R13";"0805G";1;"3.3k";;;
14;"C4,C6,C7";"0805G";3;"100n";;;
15;"D1,D2";"0805G";2;"LED";;;
16;"Q1";"TO-252-2Lead";1;"Q_NMOS_GDS";;;
17;"R14,R19";"0805G";2;"470";;;
18;"R16";"0805G";1;"1.8k";;;
19;"R17";"0805G";1;"100";;;
20;"R18,R22,R30";"0805G";3;"10k";;;
21;"R20";"0805G";1;"10";;;
22;"U7";"SOIC-08_N";1;"MCP6002";;;
23;"REF**,REF**";"MountingHole_3mm";2;"MountingHole_3mm";;;
24;"JP1";"GS3";1;"Jumper_NC_Dual";;;
25;"R21,R29";"0805G";2;"39k";;;
26;"U4,U5,U6";"SO-16-W";3;"TCA0372_DWG";;;
27;"U10";"Pads";1;"Con45";;;
28;"SW1";"PUSH_BUTTON_SMD";1;"BUT";;;
29;"C1,C8";"0805G";2;"22pF";;;
30;"C2,C9";"0805G";2;"39pF";;;
31;"C5,C10";"0805G";2;"10pF";;;
32;"R23,R31";"0805G";2;"180k";;;
33;"R24,R32";"0805G";2;"68k";;;
34;"R25,R33";"0805G";2;"18k";;;
35;"R27,R28,R37,R38";"0805G";4;"1.2k";;;
36;"C12";"C_1210_HandSoldering";1;"CP_Small";;;
37;"U9,U13";"SOIC-14_N";2;"TLC2274";;;
38;"G***";"PHR-803T";1;"LOGO";;;
39;"X5,X6,X7";"PAD_SMD_3mm";3;"PAD";;;
40;"REF**";"MountingHole_2-5mm";1;"MountingHole_2-5mm";;;
41;"REF**";"SMD_Array";1;"SMD_Array";;;
